School.Number,School Name,Address,Longitude,Latitude,GradeBand,GradesServed
226,Violetville Elementary/Middle,"1207 Pine Heights Ave, Baltimore, MD, 21229",-76.674778,39.268108,EM,PK - 8
228,John Ruhrah Elementary/Middle,"701 Rappolla St, Baltimore, MD, 21224",-76.552738,39.28519,EM,PK - 8
229,Holabird Elementary/Middle,"1500 Imla St, Baltimore, MD, 21224",-76.538054,39.276629,EM,PK - 8
231,Brehms Lane Elementary,"3536 Brehms Ln, Baltimore, MD, 21213",-76.565344,39.321278,E,PK - 5
232,Thomas Jefferson Elementary/Middle,"605 Dryden Dr, Baltimore, MD, 21229",-76.699356,39.295251,EM,PK - 8
233,Roland Park Elementary/Middle,"5207 Roland Ave, Baltimore, MD, 21210",-76.63494,39.358288,EM,PK - 8
234,Arlington Elementary/Middle,"3705 W Rogers Ave, Baltimore, MD, 21215",-76.684915,39.350855,EM,PK - 8
235,Glenmount Elementary/Middle,"6211 Walther Ave, Baltimore, MD, 21206",-76.543184,39.351544,EM,PK - 8
236,Hamilton Elementary/Middle,"6101 Old Harford Rd, Baltimore, MD, 21214",-76.558331,39.359101,EM,PK - 8
237,Highlandtown Elementary/Middle #237,"231 Eaton St, Baltimore, MD, 21224",-76.565376,39.290877,EM,PK - 8
239,Benjamin Franklin High at Masonville Cove,"1201 Cambria St, Brooklyn, MD, 21225",-76.593307,39.232732,H,9 - 12
240,Graceland Park/O'Donnell Heights Elementary/Middle,"6300 Odonnell St, Baltimore, MD, 21224",-76.535507,39.282059,EM,PK - 8
241,Fallstaff Elementary/Middle,"3801 Fallstaff Rd, Baltimore, MD, 21215",-76.7036,39.364385,EM,PK - 8
242,Northwood Elementary,"5201 Loch Raven Blvd, Baltimore, MD, 21239",-76.590429,39.351979,E,PK - 5
243,Armistead Gardens Elementary/Middle,"5001 E Eager St, Baltimore, MD, 21205",-76.554501,39.303991,EM,PK - 8
245,Leith Walk Elementary/Middle,"1235 Sherwood Ave, Baltimore, MD, 21239",-76.59179,39.36596,EM,PK - 7
246,Beechfield Elementary/Middle,"301 S Beechfield Ave, Baltimore, MD, 21229",-76.69369,39.28158,EM,PK - 8
247,Cross Country Elementary/Middle,"6100 Cross Country Blvd, Baltimore, MD, 21215",-76.696168,39.364813,EM,PK - 8
248,Sinclair Lane Elementary,"3880 Sinclair Ln, Baltimore, MD, 21213",-76.561365,39.31416,E,PK - 5
249,Medfield Heights Elementary,"4300 Bucha.n Ave, Baltimore, MD, 21211",-76.64192,39.340454,E,PK - 5
250,"Dr. Ber.rd Harris, Sr. Elementary","1400 N Caroline St, Baltimore, MD, 21213",-76.598247,39.306448,E,PK - 5
251,Callaway Elementary,"3701 Fernhill Ave, Baltimore, MD, 21215",-76.67783,39.336974,E,PK - 5
254,"Dr. Martin Luther King, Jr. Elementary/Middle","3750 Greenspring Ave, Baltimore, MD, 21211",-76.655546,39.332726,EM,PK - 8
256,Calvin M. Rodwell Elementary,"3501 Hillsdale Rd, Gwynn Oak, MD, 21207",-76.69498,39.329808,E,PK - 5
260,Frederick Elementary,"2501 Frederick Ave, Baltimore, MD, 21223",-76.65592,39.283655,E,PK - 5
261,Lockerman Bundy Elementary,"301 N Pulaski St, Baltimore, MD, 21223",-76.65031,39.292206,E,PK - 5
262,Empowerment Academy,"851 Braddish Ave, Baltimore, MD, 21216",-76.659627,39.297609,EM,PK - 8
301,William S. Baer School,"2001 N Warwick Ave, Baltimore, MD, 21216",-76.657218,39.311593,EM,PK - 12
303,Home and Hospital Program,"6900 Park Heights Ave, Baltimore, MD, 21215",-76.703124,39.364883,EM,K-12
307,Claremont School,"5301 Erdman Ave, Baltimore, MD, 21205",-76.554164,39.303161,H,9 - 12
313,Lois T. Murray Elementary/Middle,"1600 Arlington Ave, Baltimore, MD, 21239",-76.588566,39.346663,EM,PK - 8
314,Sharp-Leadenhall Elementary,"150 W West St, Baltimore, MD, 21230",-76.61854,39.276092,E,K - 5
321,Midtown Academy,"1398 W Mt Royal Ave, Baltimore, MD, 21217",-76.621742,39.308024,EM,K - 8
322,New Song Academy,"1530 Presstman St, Baltimore, MD, 21217",-76.642862,39.305309,EM,PK - 8
323,The Crossroads School,"1601 E Lombard St, Baltimore, MD, 21231",-76.595608,39.290296,M,6 - 8
325,ConneXions: A Community Based Arts School,"2801 N Dukeland St, Baltimore, MD, 21216",-76.664882,39.319225,MH,6 - 12
326,City Neighbors Charter,"4301 Raspe Ave, Baltimore, MD, 21206",-76.535032,39.349155,EM,K - 8
327,Patterson Park Public Charter,"27 N Lakewood Ave, Baltimore, MD, 21224",-76.578908,39.29242,EM,K - 8
328,Southwest Baltimore Charter,"1300 Herkimer St, Baltimore, MD, 21223",-76.636993,39.282067,EM,K - 8
329,Inner Harbor East Academy,"200 N Central Ave, Baltimore, MD, 21202",-76.599681,39.293302,EM,PK - 8
330,Northwood Appold Community Academy,"4417 Loch Raven Blvd, Baltimore, MD, 21218",-76.59207,39.344626,E,K - 5
331,Maryland Academy of Technology and Health Sciences,"2801 N Dukeland St, Baltimore, MD, 21216",-76.664882,39.319225,MH,6 - 12
332,The Green School,"2851 Kentucky Ave, Baltimore, MD, 21213",-76.57234,39.324905,E,K - 5
333,Independence School Local I,"1250 W 36th St, Baltimore, MD, 21211",-76.635999,39.330647,H,9 - 12
335,Baltimore Inter.tio.l Academy,"4410 Frankford Ave, Baltimore, MD, 21206",-76.540441,39.319438,EM,K - 8
